lfdb_id,lectin,glycotoucan_id,iupac_name,glycan_class,mass_Da,Ka_x10e4_per_M,source
LfDB0065,Galectin-3 (Human) CRD,G74026TS,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc-ol,polysaccharide,2370.86,14.000,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,G46491JP,Gal(b1-4)GlcNAc(b1-2)[GlcNAc(b1-4)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc-ol,polysaccharide,2356.88,13.687,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,G25132GJ,Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-ol,polysaccharide,2153.8,13.672,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,G77495MG,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc-ol,oligosaccharide,709.26,12.852,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,G53812EH,Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)Glc-ol,polysaccharide,855.32,12.543,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,G84440YT,Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-4)][Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-ol,polysaccharide,1845.69,12.383,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,G88981LD,Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc-ol,polysaccharide,1017.37,11.926,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,G71606HZ,Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-4)][Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc-ol,polysaccharide,1991.75,10.772,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,G25268QT,Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc-ol,oligosaccharide,709.26,10.556,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,G24673RP,Gal(b1-4)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,polysaccharide,1074.4,8.581,LfDB/FAC/GlyCosmos
