lfdb_id,lectin,specificity,glycotoucan_id,Ka_x10e4_per_M,source
LfDB0065,Galectin-3 (Human) CRD,Gal,G04681PT,0.648,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,Gal,G26039ES,0.565,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,Gal,G60785FE,0.510,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,Gal,G53238US,0.431,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,Gal,G19949UL,0.399,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,Gal,G16717IV,0.360,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,Gal,G15317IZ,0.309,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,Gal,G38426SE,0.243,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,Gal,G84170WO,0.212,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,Gal,G75829VK,0.164,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,Gal,G21251LN,0.120,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,Gal,G55979JS,0.045,LfDB/FAC/GlyCosmos
LfDB0065,Galectin-3 (Human) CRD,Gal,G66257KQ,0.024,LfDB/FAC/GlyCosmos
