lfdb_id,lectin,glycotoucan_id,iupac_name,glycan_class,mass_Da,Ka_x10e4_per_M,source
LfDB0163,WGA,G68511OZ,Neu5Ac(a2-3)[Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-4)]Gal(b1-4)Glc-ol,oligosaccharide,1291.45,5.300,LfDB/FAC/GlyCosmos
LfDB0163,WGA,G35173NI,Man(a1-3)[Man(a1-6)][Xyl(b1-2)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3)]GlcNAc-ol,polysaccharide,1190.44,5.100,LfDB/FAC/GlyCosmos
LfDB0163,WGA,G09112SH,Neu5Ac(a2-8)Neu5Ac(a2-3)[Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-4)]Gal(b1-4)Glc-ol,oligosaccharide,1582.55,4.900,LfDB/FAC/GlyCosmos
LfDB0163,WGA,G53238US,Glc(a1-4)Glc(a1-4)Glc-ol,oligosaccharide,506.18,4.700,LfDB/FAC/GlyCosmos
LfDB0163,WGA,G50205RT,GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-4)][Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-ol,polysaccharide,1683.63,4.600,LfDB/FAC/GlyCosmos
LfDB0163,WGA,G81436EU,GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-4)][GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc-ol,polysaccharide,1667.64,4.500,LfDB/FAC/GlyCosmos
LfDB0163,WGA,G06212IB,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc-ol,polysaccharide,1058.4,4.400,LfDB/FAC/GlyCosmos
LfDB0163,WGA,G25296NU,Man(a1-4)Man-ol,disaccharide,344.13,4.100,LfDB/FAC/GlyCosmos
LfDB0163,WGA,G07558KL,GlcNAc(b1-2)[GlcNAc(b1-4)]Man(a1-3)[GlcNAc(b1-4)][GlcNAc(b1-2)[GlcNAc(b1-4)][GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-ol,polysaccharide,2130.82,4.100,LfDB/FAC/GlyCosmos
LfDB0163,WGA,G75367YS,GlcNAc(b1-2)[GlcNAc(b1-4)]Man(a1-3)[GlcNAc(b1-2)[GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc-ol,polysaccharide,1870.72,3.900,LfDB/FAC/GlyCosmos
LfDB0163,WGA,G35223CU,GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc-ol,oligosaccharide,709.26,3.700,LfDB/FAC/GlyCosmos
LfDB0163,WGA,G91556EH,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc-ol,oligosaccharide,822.31,3.700,LfDB/FAC/GlyCosmos
LfDB0163,WGA,G83173HC,Gal(a1-3)GlcNAc(a1-3)Gal(b1-4)GlcNAc(a1-3)Gal(b1-4)Glc-ol,polysaccharide,1074.4,3.600,LfDB/FAC/GlyCosmos
LfDB0163,WGA,G67280SN,Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc-ol,polysaccharide,855.32,3.500,LfDB/FAC/GlyCosmos
LfDB0163,WGA,G09126MW,Gal(b1-4)GlcNAc-ol,disaccharide,385.16,3.400,LfDB/FAC/GlyCosmos
LfDB0163,WGA,G00090SL,Man(a1-6)Man-ol,disaccharide,344.13,3.300,LfDB/FAC/GlyCosmos
LfDB0163,WGA,G65070LF,Fuc(a1-2)Gal(b1-4)Glc-ol,oligosaccharide,490.19,3.300,LfDB/FAC/GlyCosmos
LfDB0163,WGA,G25162JS,Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-ol,polysaccharide,1277.48,2.900,LfDB/FAC/GlyCosmos
LfDB0163,WGA,G19949UL,Man(a1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-ol,polysaccharide,1398.5,2.800,LfDB/FAC/GlyCosmos
LfDB0163,WGA,G34125LS,Glc(a1-4)Glc(a1-4)Glc(a1-4)Glc(a1-4)Glc-ol,polysaccharide,830.29,2.800,LfDB/FAC/GlyCosmos
LfDB0163,WGA,G70374BH,GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc-ol,polysaccharide,1626.61,2.700,LfDB/FAC/GlyCosmos
LfDB0163,WGA,G68650XP,Gal(b1-4)Man-ol,disaccharide,344.13,2.700,LfDB/FAC/GlyCosmos
LfDB0163,WGA,G74026TS,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc-ol,polysaccharide,2370.86,2.600,LfDB/FAC/GlyCosmos
LfDB0163,WGA,G59487HS,Gal(b1-3)Gal(b1-3)Gal(b1-4)Glc-ol,oligosaccharide,668.24,2.500,LfDB/FAC/GlyCosmos
LfDB0163,WGA,G06550JR,GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc-ol,polysaccharide,1480.55,2.500,LfDB/FAC/GlyCosmos
LfDB0163,WGA,G69180XT,Gal(b1-3)Gal(b1-4)Glc-ol,oligosaccharide,506.18,2.500,LfDB/FAC/GlyCosmos
