compound,dHs_25C_kJ_mol,err_25C,dHs_35C_kJ_mol,err_35C,dCp_30C_J_K_mol,dCp_err,Cp2star_30C,Cp2bar,V2bar_25C_cm3_mol
D-Sorbitol,16.86,0.07,18.18,0.05,194,8,230,424,119.26
D-Mannitol,21.54,0.09,23.86,0.04,232,9,229,461,119.53
D-Galactitol,29.22,0.12,31.38,0.1,216,16,229,445,
D-Arabitol,18.71,0.08,20.3,0.07,159,8,192,351,
D-Ribitol,18.55,0.06,20.17,0.1,162,12,192,354,
D-Xylitol,22.4,0.012,23.74,0.14,134,9,192,326,
Meso-Erythritol,22.38,0.08,23.61,0.18,124,21,152,276,87.1
Pentaerythritol,22.02,0.12,23.31,0.16,129,17,172,301,
Myo-Inositol,14.98,0.12,16.46,0.04,148,13,221,,
