GlyCosmos Lectin Number,Lectin Name,Short name,UniProt ID,PDB IDs,LfDB ID,Monosaccharide Specificity,Organism,Taxonomy ID,MCAW IDs
GL_001578,"Glucans biosynthesis protein G","",A6VDK1,"","","",Pseudomonas aeruginosa PA7,381754,""
GL_004569,"C-type lectin 35 kDa subunit (Fragment)","",Q9PRY2,"","","",Petromyzon marinus,7757,""
GL_002649,"Glucokinase","",Q46QB2,"","","",Cupriavidus pinatubonensis JMP134,264198,""
GL_000582,"Jacalin-related lectin 35","",O04309,"","","",Arabidopsis thaliana,3702,""
GL_002536,"Hexokinase-1","",P19367,"1CZA|1DGK|1HKB|1HKC|1QHA|4F9O|4FOE|4FOI|4FPA|4FPB","","",Homo sapiens,9606,""
GL_001716,"Mannan endo-1,4-beta-mannosidase C","",P55298,"","","",Piromyces sp.,45796,""
GL_001767,"Probable rhamnogalacturonate lyase A","",B8NCU7,"","","",Aspergillus flavus NRRL3357,332952,""
GL_001776,"Probable rhamnogalacturonate lyase B","",Q2UDJ8,"","","",Aspergillus oryzae RIB40,510516,""
GL_003560,"Glucose-6-phosphate isomerase 1","",Q9JYX3,"","","",Neisseria meningitidis MC58,122586,""
GL_002138,"Hemagglutinin","",C4RSQ3,"3MLH","","",Influenza A virus (A/Mexico/4603/2009(H1N1)),644887,""
GL_002414,"Micronemal protein 4","",Q9XZH7,"2LL3|2LL4|4A5V","","",Toxoplasma gondii,5811,""
GL_005112,"Dopamine beta-hydroxylase","",P15101,"","","",Bos taurus,9913,""
GL_002578,"Glucose transporter type 3","",P53403,"","","",Drosophila melanogaster,7227,""
GL_004616,"Antifungal protein ginkbilobin-like protein 1","",A9NQT1,"","","",Picea sitchensis,3332,""
GL_003031,"Cellulose/chitin binding protein Rv1987","",P9WLQ1,"","","",Mycobacterium tuberculosis H37Rv,83332,""
GL_001096,"Seed lectin (Fragments)","",U3KRF8,"4HR6","","",Trichosanthes anguina,50544,""
GL_002237,"Lectin CEL-IV, C-type","CEL-IV",Q7M4F9,"3ALS|3ALT|3ALU","LfDB0144","Gal|GalNAc",Cucumaria echinata,40245,""
GL_004952,"Flavanone 3-dioxygenase","",Q7XZQ7,"","","",Petroselinum crispum,4043,""
GL_001600,"Glucans biosynthesis protein G","",C3LLY3,"","","",Vibrio cholerae M66-2,579112,""
GL_004957,"L-isoleucine 3(1)-dioxygenase","",A0A0H3L1B8,"","","",Pantoea ananatis AJ13355,932677,""
GL_003967,"Glucose-6-phosphate isomerase","",Q0SQS9,"","","",Clostridium perfringens SM101,289380,""
GL_001209,"Alpha-amylase","",O57932,"","","",Pyrococcus horikoshii OT3,70601,""
GL_001533,"Glucans biosynthesis protein D","",Q320I8,"","","",Shigella boydii Sb227,300268,""
GL_000218,"C-type lectin lectoxin-Enh2","",A7X3W6,"","","",Pseudoferania polylepis,338839,""
GL_003904,"ATP-dependent 6-phosphofructokinase 1","",P21777,"","","",Thermus thermophilus HB8,300852,""
GL_000523,"Galectin-related protein","",Q5ZHQ2,"5IT6","","",Gallus gallus,9031,""
GL_003268,"L-fucose mutarotase","",B1XDL3,"","","",Escherichia coli str. K-12 substr. DH10B,316385,""
GL_001565,"Glucans biosynthesis protein G","",Q8XVC3,"","","",Ralstonia pseudosolanacearum GMI1000,267608,""
GL_003500,"Glucose-6-phosphate isomerase 1","",O88015,"","","",Streptomyces coelicolor A3(2),100226,""
GL_000572,"Jacalin-related lectin 2","",Q9MA49,"","","",Arabidopsis thaliana,3702,""
GL_002109,"Antifreeze protein (Fragment)","",A1YIY3,"3P4G|4KDV|4KDW|5J6Y|5JUH|5K8G|6X5V|6X5W|6X6M|6X6Q|6X7J|6X7T|6X7X|6X7Y|6X7Z|6X8A|6X8D|6X8Y|6X95|6X9M|6X9P|6XA5|6XAC|6XAQ","","",Marinomonas primoryensis,178399,""
GL_003537,"Glucose-6-phosphate isomerase","",Q1LU73,"","","",Baumannia cicadellinicola str. Hc (Homalodisca coagulata),374463,""
GL_004127,"Glucose-6-phosphate isomerase","",B0BC12,"","","",Chlamydia trachomatis L2b/UCH-1/proctitis,471473,""
GL_000802,"Natural killer cells antigen CD94","",Q13241,"1B6E|3BDW|3CDG|3CII","","",Homo sapiens,9606,""
GL_004601,"Bis(monoacylglycero)phosphate synthase CLN5","",Q5JZQ9,"","","",Canis lupus familiaris,9615,""
GL_002929,"Acetylxylan esterase A","",Q8NJP6,"","","",Talaromyces purpureogenus,1266744,""
GL_002976,"Probable mannan endo-1,4-beta-mannosidase F","",Q2U2I3,"","","",Aspergillus oryzae RIB40,510516,""
GL_002643,"Bifunctional protein glk","",Q3JPP0,"","","",Burkholderia pseudomallei 1710b,320372,""
GL_003531,"ATP-dependent 6-phosphofructokinase 3","",Q8A2E9,"","","",Bacteroides thetaiotaomicron VPI-5482,226186,""
GL_003949,"Glucose-6-phosphate isomerase","",Q2S8W1,"","","",Hahella chejuensis KCTC 2396,349521,""
