GlyCosmos Lectin Number,Lectin Name,Short name,UniProt ID,PDB IDs,LfDB ID,Monosaccharide Specificity,Organism,Taxonomy ID,MCAW IDs
GL_001277,"Beta-galactosidase","",P0C1Y0,"","","",Lactobacillus delbrueckii subsp. bulgaricus,1585,""
GL_000328,"Collectin-12","",Q2LK54,"","","",Gallus gallus,9031,""
GL_002655,"Glucokinase","",Q6D7C4,"","","",Pectobacterium atrosepticum SCRI1043,218491,""
GL_000287,"Calreticulin","",Q4R6K8,"","","",Macaca fascicularis,9541,""
GL_004781,"Autoinducer 2-binding protein LsrB","",A4TQL8,"","","",Yersinia pestis Pestoides F,386656,""
GL_000100,"Beta-galactoside-specific lectin 3","",P82683,"","","",Viscum album,3972,""
GL_004107,"Glucose-6-phosphate isomerase","",Q83D91,"","","",Coxiella burnetii RSA 493,227377,""
GL_001066,"Receptor-like serine/threonine-protein kinase SD1-7","",Q39086,"","","",Arabidopsis thaliana,3702,""
GL_001081,"Ricin B-like lectin R40G2","",Q6Z4N6,"","","",Oryza sativa Japonica Group,39947,""
GL_004727,"N-acetylmuramic acid 6-phosphate etherase","",Q02Z51,"","","",Lactococcus cremoris subsp. cremoris SK11,272622,""
GL_002492,"Glucokinase","",A7FGD3,"","","",Yersinia pseudotuberculosis IP 31758,349747,""
GL_004390,"ATP-dependent 6-phosphofructokinase isozyme 1","",Q3YV62,"","","",Shigella sonnei Ss046,300269,""
GL_001354,"Beta-galactosidase 7","",Q75HQ3,"","","",Oryza sativa Japonica Group,39947,""
GL_002415,"Mannose-specific lectin CEA","",R9RL27,"5D5G|5D9Z","","",Colocasia esculenta,4460,""
GL_001562,"Glucans biosynthesis protein G","",A5F1Q1,"","","",Vibrio cholerae O395,345073,""
GL_001558,"Glucans biosynthesis protein G","",P67558,"","","",Salmonella enterica subsp. enterica serovar Typhi,90370,""
GL_003828,"Glucose-6-phosphate isomerase","",Q1LM68,"","","",Cupriavidus metallidurans CH34,266264,""
GL_001102,"Serum amyloid P-component","",O19063,"","","",Sus scrofa,9823,""
GL_000983,"Protein GOS9","",P0C5C6,"","","",Oryza sativa Japonica Group,39947,""
GL_005231,"Prolyl 3-hydroxylase 2","",Q6JHU7,"","","",Gallus gallus,9031,""
GL_000240,"C-type mannose receptor 2","",Q4TU93,"","","",Rattus norvegicus,10116,""
GL_004221,"Glucose-6-phosphate isomerase","",Q042K0,"","","",Lactobacillus gasseri ATCC 33323 = JCM 1131,324831,""
GL_005070,"PKHD-type hydroxylase CPS_3426","",Q47YL9,"","","",Colwellia psychrerythraea 34H,167879,""
GL_001445,"Endoglucanase 13","",Q0J930,"","","",Oryza sativa Japonica Group,39947,""
GL_005182,"PKHD-type hydroxylase PD_1553","",Q87BA5,"","","",Xylella fastidiosa Temecula1,183190,""
GL_003460,"ATP-dependent 6-phosphofructokinase, platelet type","",Q5R636,"","","",Pongo abelii,9601,""
GL_003596,"D-ribose pyranase","",Q3YVK9,"","","",Shigella sonnei Ss046,300269,""
GL_002406,"Shiga toxin subunit A","",Q9FBI2,"1DM0|1R4Q","","",Shigella dysenteriae,622,""
GL_004151,"Glucose-6-phosphate isomerase","",Q28QX4,"","","",Jannaschia sp. CCS1,290400,""
GL_001023,"Pulmonary surfactant-associated protein D","",P35246,"","","",Bos taurus,9913,""
GL_001839,"Streptogrisin-C","",P52320,"","","",Streptomyces griseus,1911,""
GL_000507,"Galectin-7","Galectin-7 (Human)",P47929,"1BKZ|2GAL|3GAL|3ZXE|3ZXF|4GAL|4UW3|4UW4|4UW5|4UW6|4XBQ|4Y26|5GAL|5H9Q|5H9S|6VTO|6VTP|6VTQ|6VTR|6VTS|7N4O|7N57|7N6C|7N8D|7N8G|7N96|7RDG|7TKW|7TKX|7TKY|7TKZ|7TRN|7TRO|7XAC|7XBL","LfDB0058","Gal",Homo sapiens,9606,"1461|1702|1703|1710|5107"
GL_004101,"ATP-dependent 6-phosphofructokinase","",B5FPR2,"","","",Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853,439851,""
GL_004890,"N-acetylmuramic acid 6-phosphate etherase","",B2IU18,"","","",Nostoc punctiforme PCC 73102,63737,""
GL_004113,"ATP-dependent 6-phosphofructokinase","",Q890Z2,"","","",Clostridium tetani E88,212717,""
GL_000918,"Polypeptide N-acetylgalactosaminyltransferase 35A","",Q8MVS5,"","","",Drosophila melanogaster,7227,""
GL_001694,"Lysosomal alpha-glucosidase","",Q6P7A9,"","","",Rattus norvegicus,10116,""
GL_003220,"Glucan 1,4-alpha-maltotetraohydrolase","",P13507,"1GCY|1JDA|1JDC|1JDD|1QI3|1QI4|1QI5|1QPK|2AMG","","",Stutzerimonas stutzeri,316,""
GL_003136,"Pyruvate kinase","",Q07637,"","","",Lactococcus lactis subsp. lactis Il1403,272623,""
GL_004250,"D-ribose pyranase","",C5BDG5,"","","",Edwardsiella ictaluri 93-146,634503,""
GL_000030,"Agglutinin alpha chain","MPA",P18674,"1JOT|3LLY|3LLZ|3LM1","LfDB0145","Gal",Maclura pomifera,3496,""
GL_002779,"Xyloglucan endotransglucosylase protein 34","",Q8GZD5,"1UMZ|1UN1","","",Populus tremula x Populus tremuloides,47664,""
GL_004407,"D-ribose pyranase","",A4WGD9,"","","",Enterobacter sp. 638,399742,""
GL_004229,"Glucose-6-phosphate isomerase","",Q491V0,"","","",Candidatus Blochmanniella pennsylvanica str. BPEN,291272,""
GL_003242,"Protein EARLY STARVATION 1, chloroplastic","",Q8H8C6,"","","",Oryza sativa Japonica Group,39947,""
GL_002576,"Glucokinase","",A1SXA4,"","","",Psychromonas ingrahamii 37,357804,""
GL_001772,"Probable rhamnogalacturonate lyase B","",A5ABH4,"","","",Aspergillus niger CBS 513.88,425011,""
GL_005118,"1-aminocyclopropane-1-carboxylate oxidase 1","",Q00985,"","","",Malus domestica,3750,""
GL_002912,"Mannan endo-1,4-beta-mannosidase F","",Q4WBS1,"","","",Aspergillus fumigatus Af293,330879,""
GL_001236,"Alpha-mannosidase 2C1","",P21139,"","","",Rattus norvegicus,10116,""
GL_004645,"Dolichol-phosphate mannosyltransferase subunit 1","",O60762,"","","",Homo sapiens,9606,""
GL_000187,"C-type lectin domain family 4 member G","",Q6UXB4,"","","",Homo sapiens,9606,"4587|4590|4596"
GL_000594,"Jacalin-related lectin 46","",Q9LTA8,"","","",Arabidopsis thaliana,3702,""
GL_000052,"Aggrecan core protein","",P07897,"1TDQ","","",Rattus norvegicus,10116,""
GL_002882,"Cellulase/esterase CelE","",P10477,"2WAB|2WAO|4IM4","","",Acetivibrio thermocellus ATCC 27405,203119,""
GL_001998,"Collectin-12","",Q5KU26,"2OX8","","",Homo sapiens,9606,""
GL_001297,"Beta-galactosidase","",A0KQH4,"","","",Aeromonas hydrophila subsp. hydrophila ATCC 7966,380703,""
GL_003423,"ATP-dependent 6-phosphofructokinase","",Q72ZD8,"","","",Bacillus cereus ATCC 10987,222523,""
GL_004343,"Glucose-6-phosphate isomerase","",A6L7P7,"","","",Phocaeicola vulgatus ATCC 8482,435590,""
GL_000678,"Layilin","",Q8C351,"2K00","","",Mus musculus,10090,""
GL_003362,"Pyrophosphate--fructose 6-phosphate 1-phosphotransferase","",O08333,"","","",Streptomyces coelicolor A3(2),100226,""
GL_001944,"HA-33","",Q45871,"1YBI|4LO0|4LO1|4LO2|4LO3|4LO7|5BP5|5BQU","","",Clostridium botulinum,1491,""
GL_005208,"Prolyl 4-hydroxylase subunit alpha-1","",Q5RAG8,"","","",Pongo abelii,9601,""
GL_002307,"Major capsid protein VP1","",P03087,"1SVA|3BWQ|3BWR","","",Betapolyomavirus macacae,1891767,""
GL_005039,"PKHD-type hydroxylase XF_0598","",Q9PFQ9,"","","",Xylella fastidiosa 9a5c,160492,""
GL_003948,"Glucose-6-phosphate isomerase","",Q3B3Q8,"","","",Pelodictyon luteolum DSM 273,319225,""
GL_005301,"Beta-agarase AgaO","",Q5KTI5,"","","",Microbulbifer thermotolerans,252514,""
GL_001636,"Glucosidase 2 subunit alpha","",P38138,"","","",Saccharomyces cerevisiae S288C,559292,""
GL_004061,"Glucose-6-phosphate isomerase","",Q2JHU0,"","","",Synechococcus sp. JA-2-3B'a(2-13),321332,""
GL_002949,"AA9 family lytic polysaccharide monooxygenase cel61A","",O14405,"","","",Trichoderma reesei,51453,""
GL_001977,"Aerolysin-like protein","",Q5CZR5,"4ZNO|4ZNQ|4ZNR|5DI0","","",Danio rerio,7955,""
GL_000105,"Boletus edulis lectin","",F2Z266,"3QDS|3QDT|3QDU|3QDV|3QDW|3QDX|3QDY","","",Boletus edulis,36056,""
GL_002577,"Glucokinase","",C3MBY4,"","","",Sinorhizobium fredii NGR234,394,""
GL_000687,"Lectin","",P0DSP5,"","","",Coccinia grandis,387127,""
GL_003566,"ATP-dependent 6-phosphofructokinase","",Q2NQX2,"","","",Sodalis glossinidius str. 'morsitans',343509,""
GL_003830,"Glucose-6-phosphate isomerase","",Q6F1L2,"","","",Mesoplasma florum L1,265311,""
GL_001683,"Lectin alpha chain","",P58908,"2ZBJ","","",Macropsychanthus bicolor,232299,""
GL_004515,"Glucose-6-phosphate isomerase","",B1JJM7,"","","",Yersinia pseudotuberculosis YPIII,502800,""
GL_004013,"Glucose-6-phosphate isomerase","",A1BFF9,"","","",Chlorobium phaeobacteroides DSM 266,290317,""
GL_000396,"Flt3 receptor-interacting lectin","",Q9ZTA9,"1QMO","","",Lablab purpureus,35936,""
GL_005184,"Dioscorin DB3S","",Q75N34,"","","",Dioscorea polystachya,55575,""
GL_001569,"Glucans biosynthesis protein G","",A9KZ12,"","","",Shewanella baltica OS195,399599,""
GL_001347,"Beta-galactosidase 2","",A6TI29,"","","",Klebsiella pneumoniae subsp. pneumoniae MGH 78578,272620,""
GL_002767,"Exoglucanase A","",P50401,"7CBD","","",Cellulomonas fimi ATCC 484,590998,""
GL_002289,"Botulinum neurotoxin type F","",A7GBG3,"3FIE|3FII|3FUQ|3RSJ","","",Clostridium botulinum F str. Langeland,441772,""
GL_001033,"Putative C-type lectin protein FPV008/FPV253","",P14370,"","","",Fowlpox virus strain NVSL,928301,""
GL_003812,"D-ribose pyranase","",A9QYG7,"","","",Yersinia pestis Angola,349746,""
GL_002116,"Tachylectin 2 domain-containing protein","",A7SDD2,"5C2M","","",Nematostella vectensis,45351,""
GL_000406,"Fucolectin-7","",Q9I925,"","","",Anguilla japonica,7937,""
GL_000261,"Calnexin homolog 2","",Q38798,"","","",Arabidopsis thaliana,3702,""
GL_000390,"Ficolin-2","",P57756,"","","",Rattus norvegicus,10116,""
GL_002426,"HEL1","",A0A291S0P4,"","","",Hericium erinaceus,91752,""
GL_001263,"Autoinducer 2-binding protein LsrB","",Q74PW2,"3T95","","",Yersinia pestis,632,""
GL_001779,"Probable rhamnogalacturonate lyase C","",Q2U5P7,"","","",Aspergillus oryzae RIB40,510516,""
GL_002540,"Glucokinase","",A1ADR4,"","","",Escherichia coli APEC O1,405955,""
GL_004691,"N-acetylmuramic acid 6-phosphate etherase","",Q119L1,"","","",Trichodesmium erythraeum IMS101,203124,""
GL_004347,"Probable glucose-6-phosphate isomerase","",Q6LXQ4,"","","",Methanococcus maripaludis S2,267377,""
GL_000098,"Beta-galactoside-specific lectin 1","",P81446,"1M2T|1ONK|1OQL|1PUM|1PUU|1SZ6|2R9K|2RG9|3D7W|3O5W|4EB2|4JKX|6ELY","","",Viscum album,3972,""
GL_002481,"Hexokinase-3","",P52790,"3HM8","","",Homo sapiens,9606,""
GL_003736,"ATP-dependent 6-phosphofructokinase, platelet type","",P47860,"","","",Rattus norvegicus,10116,""
GL_000635,"Killer cell lectin-like receptor subfamily I member 2","",Q5DT36,"","","",Mus musculus,10090,""
GL_005059,"PKHD-type hydroxylase Vapar_1809","",C5CUN1,"","","",Variovorax paradoxus S110,543728,""
GL_000353,"Doublecortin domain-containing protein 1","",M0R2J8,"","","",Homo sapiens,9606,""
GL_000894,"Polypeptide N-acetylgalactosaminyltransferase 11","",Q6P6V1,"","","",Rattus norvegicus,10116,""
GL_002671,"Glucokinase","",C0PZD3,"","","",Salmonella enterica subsp. enterica serovar Paratyphi C str. RKS4594,476213,""
GL_000231,"C-type lectin mannose-binding isoform","",D2YVH7,"","","",Oxyuranus scutellatus,8668,""
GL_000701,"Lectin (Fragment)","",P86922,"","","",Ganoderma lucidum,5315,""
GL_004565,"Collectin-43","",P42916,"","","",Bos taurus,9913,""
GL_000156,"C-type lectin domain family 2 member D11","",Q0H8B9,"7ODU|8OUQ","","",Rattus norvegicus,10116,""
GL_003374,"ATP-dependent 6-phosphofructokinase","",B9E7A4,"","","",Macrococcoides caseolyticum JCSC5402,458233,""
GL_002511,"Hexokinase","",Q969A8,"","","",Toxoplasma gondii,5811,""
GL_002633,"Glucokinase","",B7M6Q8,"","","",Escherichia coli IAI1,585034,""
GL_003697,"Glucose-6-phosphate isomerase 1","",Q82M90,"","","",Streptomyces avermitilis MA-4680 = NBRC 14893,227882,""
GL_002090,"Outer capsid protein VP4 (Fragment)","",A0A0S0VKY7,"6H9W|6H9Z|6HA0","","",Rotavirus A,28875,""
GL_003221,"Outer membrane protein SusF","",G8JZS6,"4FE9","","",Bacteroides thetaiotaomicron VPI-5482,226186,""
GL_002079,"VP1","",A0A076JB57,"5F4J","","",Norovirus GII/Hu/JP/2002/GII.P16_GII.17/Saitama/T87,1529916,""
GL_004081,"Glucose-6-phosphate isomerase","",P28718,"","","",Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,264203,""
GL_005073,"Homoarginine-6-hydroxylase 2-ODD-233","",Q6K332,"","","",Oryza sativa Japonica Group,39947,""
GL_004075,"Glucose-6-phosphate isomerase","",Q328X7,"","","",Shigella dysenteriae Sd197,300267,""
GL_000904,"Polypeptide N-acetylgalactosaminyltransferase 16","",Q8N428,"","","",Homo sapiens,9606,""
GL_000432,"G-type lectin S-receptor-like serine/threonine-protein kinase At4g03230","",Q9ZR08,"","","",Arabidopsis thaliana,3702,""
GL_004335,"Glucose-6-phosphate isomerase","",Q9CNL2,"","","",Pasteurella multocida subsp. multocida str. Pm70,272843,""
GL_002663,"Glucokinase","",Q4UV84,"","","",Xanthomonas campestris pv. campestris str. 8004,314565,""
GL_002594,"Hexokinase-4","",Q56XE8,"","","",Arabidopsis thaliana,3702,""
GL_001881,"Uncharacterized protein HI_1028","",P44992,"","","",Haemophilus influenzae Rd KW20,71421,""
GL_004449,"ATP-dependent 6-phosphofructokinase","",P0DD02,"","","",Streptococcus pyogenes MGAS315,198466,""
GL_004658,"N-acetylmuramic acid 6-phosphate etherase","",Q9CGG6,"","","",Lactococcus lactis subsp. lactis Il1403,272623,""
GL_002288,"Major capsid protein VP1","",A5HBD5,"3S7X","","",WU Polyomavirus,440266,""
GL_002884,"Mannan endo-1,4-beta-mannosidase F","",A1C8U0,"","","",Aspergillus clavatus NRRL 1,344612,""
GL_001612,"Glucans biosynthesis protein G","",Q1RDB0,"","","",Escherichia coli UTI89,364106,""
GL_001457,"Endomucin","",Q6AY82,"","","",Rattus norvegicus,10116,""
GL_000085,"Bark agglutinin I polypeptide A","",Q41159,"1FNY|1FNZ","","",Robinia pseudoacacia,35938,""
GL_004457,"D-ribose pyranase","",Q5HJA7,"","","",Staphylococcus aureus subsp. aureus COL,93062,""
GL_001746,"Probable alpha-glucosidase Os06g0675700","",Q653V7,"","","",Oryza sativa Japonica Group,39947,""
GL_003599,"Glucose-6-phosphate isomerase","",A4WTF5,"","","",Cereibacter sphaeroides ATCC 17025,349102,""
GL_002810,"Wall-associated receptor kinase 5","",Q9LMN7,"","","",Arabidopsis thaliana,3702,""
GL_002679,"Glucose 1-dehydrogenase 1","",D2RW30,"","","",Haloterrigena turkmenica DSM 5511,543526,""
GL_005258,"Sexual differentiation process protein isp7","",P40902,"","","",Schizosaccharomyces pombe 972h-,284812,""
GL_000243,"Calcium up-regulated protein C","",Q7Z202,"","","",Dictyostelium discoideum,44689,""
GL_002409,"Receptor-like protein kinase ANXUR1","",Q9SR05,"5Y96|6A5A|6FIG","","",Arabidopsis thaliana,3702,""
GL_002653,"Glucokinase","",Q9ZKB0,"","","",Helicobacter pylori J99,85963,""
GL_002704,"Glucokinase","",B2TWY5,"","","",Shigella boydii CDC 3083-94,344609,""
GL_001988,"C-type lectin domain family 10 member A","mMGL1(WT)",P49300,"","LfDB0375","",Mus musculus,10090,"1637"
GL_005257,"Dioscorin dioA3","",A7MAQ2,"4TWL|4TWM","","",Dioscorea japonica,4673,""
GL_004753,"Autoinducer 2-binding periplasmic protein LuxP","",P54300,"1JX6|1ZHH|2HJ9|4YP9|4YR7|4YRZ","","",Vibrio harveyi,669,""
GL_003199,"Cyclomaltodextrin glucanotransferase","",P27036,"","","",Bacillus ohbensis,1481,""
GL_004825,"N-acetylmuramic acid 6-phosphate etherase","",Q8DJQ1,"","","",Thermosynechococcus vestitus BP-1,197221,""
GL_004994,"PKHD-type hydroxylase Bamb_4479","",Q0B744,"","","",Burkholderia ambifaria AMMD,339670,""
GL_001374,"Bifunctional protein GAL10","",P40801,"","","",Pachysolen tannophilus,4918,""
GL_002323,"Intercellular adhesion molecule 1","",P05362,"1D3E|1D3I|1D3L|1IAM|1IC1|1MQ8|1P53|1Z7Z|2OZ4|3TCX|5MZA|6EIT|6S8U|7BG7","","",Homo sapiens,9606,""
GL_002364,"Flocculation protein FLO1","",P32768,"4LHL|4LHN","","",Saccharomyces cerevisiae S288C,559292,""
GL_002486,"Hexokinase HKDC1","",Q2TB90,"","","",Homo sapiens,9606,""
GL_005185,"Phytanoyl-CoA dioxygenase, peroxisomal","",O35386,"","","",Mus musculus,10090,""
GL_002370,"Hemagglutinin components HA-70 type C","",P46085,"2ZOE|2ZS6|4EN6|4EN7|4EN8|4EN9","","",Clostridium phage c-st,12336,""
GL_003898,"Glucose-6-phosphate isomerase","",Q0BKZ2,"","","",Francisella tularensis subsp. holarctica OSU18,393011,""
GL_003332,"D-ribose pyranase","",Q7UU60,"","","",Rhodopirellula baltica SH 1,243090,""
GL_002362,"pH 6 antigen","",P31522,"4F8L|4F8N|4F8O|4F8P|5LN4","","",Yersinia pestis,632,""
GL_004070,"Glucose-6-phosphate isomerase","",B5Z0C4,"","","",Escherichia coli O157:H7 str. EC4115,444450,""
GL_005150,"PKHD-type hydroxylase LHK_00496","",C1DC72,"","","",Laribacter hongkongensis HLHK9,557598,""
GL_001415,"Contactin-1","",Q12860,"2EE2|3S97","","",Homo sapiens,9606,""
GL_003222,"Thermophilic beta-amylase","",P19584,"","","",Thermoanaerobacterium thermosulfurigenes,33950,""
GL_004281,"ATP-dependent 6-phosphofructokinase","",C6DHK2,"","","",Pectobacterium carotovorum subsp. carotovorum PC1,561230,""
GL_000063,"Anti-H(O) lectin 3 (Fragment)","",P23032,"","","",Ulex europaeus,3902,""
GL_003729,"ATP-dependent 6-phosphofructokinase, liver type","",P12382,"","","",Mus musculus,10090,""
GL_002682,"Glucokinase","",O25731,"","","",Helicobacter pylori 26695,85962,""
GL_005223,"1-aminocyclopropane-1-carboxylate oxidase 2","",P07920,"","","",Solanum lycopersicum,4081,""
GL_000556,"Intelectin-1","",Q5PPM0,"4WMO|4WN0|5ZC0","","",Xenopus laevis,8355,""
GL_000260,"Calnexin homolog 1","",P29402,"","","",Arabidopsis thaliana,3702,""
GL_000899,"Polypeptide N-acetylgalactosaminyltransferase 13","",Q6UE39,"","","",Rattus norvegicus,10116,""
GL_002788,"Protein PTST, chloroplastic","",Q94AX2,"","","",Arabidopsis thaliana,3702,""
GL_002758,"HLA class II histocompatibility antigen, DRB1 beta chain","",P01911,"1A6A|1AQD|1BX2|1D5M|1D5X|1D5Z|1D6E|1DLH|1FYT|1HXY|1J8H|1JWM|1JWS|1JWU|1KG0|1KLG|1KLU|1LO5|1PYW|1R5I|1SEB|1SJE|1SJH|1T5W|1T5X|1YMM|2FSE|2G9H|2IAM|2IAN|2ICW|2IPK|2OJE|2SEB|2WBJ|2XN9|3L6F|3O6F|3PDO|3PGC|3PGD|3QXA|3QXD|3S4S|3S5L|3T0E|4AEN|4AH2|4C56|4E41|4FQX|4GBX|4I5B|4IS6|4MCY|4MCZ|4MD0|4MD4|4MD5|4MDI|4MDJ|4OV5|4X5W|4X5X|4Y19|4Y1A|5JLZ|5LAX|5NI9|5NIG|6BIJ|6BIL|6BIN|6BIR|6BIV|6BIX|6BIY|6BIZ|6CPL|6CPN|6CPO|6CQJ|6CQL|6CQN|6CQQ|6CQR|6HBY|6NIX|6QZA|6QZC|6QZD|6R0E|6V0Y|6V13|6V15|6V18|6V19|6V1A|8PJG|8TBP|8TRL|8TRQ|8TRR|8VRW","","",Homo sapiens,9606,""
GL_004749,"D-apiose import binding protein","",A6VKQ8,"","","",Actinobacillus succinogenes 130Z,339671,""
GL_003816,"D-ribose pyranase","",Q1CC43,"","","",Yersinia pestis Antiqua,360102,""
GL_004091,"Glucose-6-phosphate isomerase","",B1ING9,"","","",Clostridium botulinum B1 str. Okra,498213,""
GL_005108,"PKHD-type hydroxylase Sala_1910","",Q1GRV0,"","","",Sphingopyxis alaskensis RB2256,317655,""
GL_001629,"Glucokinase regulatory protein","",Q14397,"4BB9|4BBA|4LY9|4MQU|4MRO|4MSU|4OHK|4OHM|4OHO|4OHP|4OLH|4OP1|4OP2|4OP3|4PX2|4PX3|4PX5|4PXS","","",Homo sapiens,9606,""
GL_000841,"PA-I galactophilic lectin","",Q05097,"1L7L|1OKO|1UOJ|2VXJ|2WYF|3ZYB|3ZYF|3ZYH|4A6S|4AL9|4CP9|4CPB|4LJH|4LK6|4LK7|4LKD|4LKE|4LKF|4YW6|4YW7|4YWA|5D21|5MIH|6YO3|6YOH|7FIO|7FJH|7Z62|7Z63|8GUV","","",Pseudomonas aeruginosa PAO1,208964,"2411|2412|2413"
GL_001823,"Ribose-phosphate pyrophosphokinase 1","",P60892,"","","",Rattus norvegicus,10116,""
GL_004259,"Glucose-6-phosphate isomerase, cytosolic 1","",P54237,"","","",Clarkia mildrediae,49756,""
GL_000142,"C-type lectin domain family 11 member A","",O88201,"","","",Rattus norvegicus,10116,""
GL_002834,"SusD-like protein BACOVA_02651","",A7LXT5,"5E75|5E76","","",Bacteroides ovatus ATCC 8483,411476,""
GL_000409,"Fucose-specific lectin","",Q4WW81,"4AGI|4AGT|4AH4|4AHA|4C1Y|4D4U|4D52|4UOU|6Z6C","","",Aspergillus fumigatus Af293,330879,"2381|3013|3021"
GL_002734,"Xyloglucan endotransglucosylase/hydrolase protein 2","",Q9SV60,"","","",Arabidopsis thaliana,3702,""
GL_004059,"Glucose-6-phosphate isomerase","",B5EBB8,"","","",Citrifermentans bemidjiense Bem,404380,""
GL_005297,"Contactin-2","",Q61330,"5E7L|8A0Y","","",Mus musculus,10090,""
GL_003754,"Glucose-6-phosphate isomerase","",A0PVN7,"","","",Mycobacterium ulcerans Agy99,362242,""
GL_004002,"D-ribose pyranase","",C1D8A6,"","","",Laribacter hongkongensis HLHK9,557598,""
GL_000300,"CD302 antigen","",A8WH75,"","","",Sus scrofa,9823,""
GL_003027,"Probable 1,4-beta-D-glucan cellobiohydrolase C","",Q0CFP1,"","","",Aspergillus terreus NIH2624,341663,""
GL_001540,"Glucans biosynthesis protein D","",Q48BK0,"","","",Pseudomonas savastanoi pv. phaseolicola 1448A,264730,""
GL_005056,"PKHD-type hydroxylase Syncc9902_2001","",Q3AUN6,"","","",Synechococcus sp. CC9902,316279,""
GL_002645,"Solute carrier family 2, facilitated glucose transporter member 8","",Q9JIF3,"","","",Mus musculus,10090,""
GL_000333,"Congerin-2","",Q9YIC2,"1IS3|1IS4|1IS5|1IS6|1WLC|1WLD|1WLW","","",Conger myriaster,7943,""
GL_004473,"Glucose-6-phosphate isomerase 1","",Q3SK65,"","","",Thiobacillus denitrificans ATCC 25259,292415,""
GL_001666,"Interleukin-2","",P60568,"1IRL|1M47|1M48|1M49|1M4A|1M4B|1M4C|1NBP|1PW6|1PY2|1QVN|1Z92|2B5I|2ERJ|3INK|3QAZ|3QB1|4NEJ|4NEM|5LQB|5M5E|5UTZ|6LX3|6LXW|6VWU|6YE3|7DR4|7M2G|7RA9|7RAA|7YZJ|7ZMZ|8SOW|8SOZ","","",Homo sapiens,9606,""
GL_002692,"Glucokinase","",B4TCD7,"","","",Salmonella enterica subsp. enterica serovar Heidelberg str. SL476,454169,""
GL_004928,"PKHD-type hydroxylase Bphy_5374","",B2JNF0,"","","",Paraburkholderia phymatum STM815,391038,""
GL_005286,"Alpha-L-arabinofuranosidase A","",A0A977JPB5,"","","",Penicillium parvum,70113,""
GL_002945,"Endoglucanase/exoglucanase B","",P10474,"","","",Caldicellulosiruptor saccharolyticus,44001,""
GL_000313,"Chitinase-3-like protein 1","",Q9WTV1,"","","",Rattus norvegicus,10116,""
GL_003042,"AA9 family lytic polysaccharide monooxygenase E","",Q5AQA6,"","","",Aspergillus nidulans FGSC A4,227321,""
GL_003730,"ATP-dependent 6-phosphofructokinase 2","",Q9HGZ0,"","","",Aspergillus oryzae RIB40,510516,""
GL_000540,"Hemocytin","",P98092,"","","",Bombyx mori,7091,""
GL_004577,"Lectin","",P38662,"","","",Lablab purpureus,35936,""
GL_002129,"VP1","",B5BTT5,"4OOX|4OPO","","",Norovirus Hu/GII-4/Kumamoto5/2006/JP,546987,""
GL_000800,"Natural killer cells antigen CD94","",Q8MHY9,"","","",Pongo pygmaeus,9600,""
GL_002285,"Lectin alpha chain","",A0A023GPI8,"4K1Y|4K1Z|4K20|4K21","","",Canavalia boliviana,232300,""
GL_004479,"Glucose-6-phosphate isomerase, cytosolic 1","",P54238,"","","",Clarkia rostrata,49041,""
GL_004696,"Beta-glucuronidase","",Q8E0N2,"4JKK|4JKL","","",Streptococcus agalactiae 2603V/R,208435,""
GL_001959,"GSI-B4 isolectin (Fragment)","GS-I|GSL-I|GSL-l B4",Q8W1R6,"1GNZ|1HQL","LfDB0223|LfDB0230","Gal|GalNAc",Griffonia simplicifolia,3850,""
GL_000029,"Agglutinin alpha chain","jacalin",P18670,"1JAC|1KU8|1KUJ|1M26|1PXD|1TOQ|1TP8|1UGW|1UGX|1UGY|1UH0|1UH1|1WS4|1WS5|4AK4|4AKB|4AKC|4R6N|4R6O|4R6P|4R6Q|4R6R|5J4T|5J4X|5J50|5J51|5JM1","LfDB0146","Gal",Artocarpus integer,3490,""
GL_003628,"Glucose-6-phosphate isomerase","",P0DB25,"","","",Streptococcus pyogenes SSI-1,193567,""
GL_000286,"Calreticulin","",Q2HWU3,"","","",Macaca fuscata fuscata,9543,""
GL_002966,"Probable acetylxylan esterase A","",Q4WBW4,"","","",Aspergillus fumigatus Af293,330879,""
GL_005086,"PKHD-type hydroxylase RPD_3334","",Q134D1,"","","",Rhodopseudomonas palustris BisB5,316057,""
GL_004827,"Autoinducer 2-binding protein LsrB","",B1XEA4,"","","",Escherichia coli str. K-12 substr. DH10B,316385,""
GL_000636,"Killer cell lectin-like receptor subfamily I member 2","",Q5DT37,"","","",Rattus norvegicus,10116,""
GL_001002,"Protein OS-9 homolog","",Q4WCG2,"","","",Aspergillus fumigatus Af293,330879,""
GL_003297,"L-fucose mutarotase","",B5BF33,"","","",Salmonella enterica subsp. enterica serovar Paratyphi A str. AKU_12601,554290,""
GL_000081,"B-cell receptor CD22","",Q9N1E5,"","","",Pan paniscus,9597,""
GL_003384,"ATP-dependent 6-phosphofructokinase","",A8Z2L4,"","","",Staphylococcus aureus subsp. aureus USA300_TCH1516,451516,""
GL_002539,"Glucokinase","",B5ZWT5,"","","",Rhizobium leguminosarum bv. trifolii WSM2304,395492,""
